AssetID,DownloadAttribute,Filetype,Size,PrettyDownloadLink,RawDownloadLink
Fabric037,2K-JPG,zip,22112958,https://cc0textures.com/get?file=Fabric037_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Fabric037_51sb4utv/Fabric037_2K-JPG.zip
Fabric037,4K-JPG,zip,84512796,https://cc0textures.com/get?file=Fabric037_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Fabric037_51sb4utv/Fabric037_4K-JPG.zip
Fabric037,8K-JPG,zip,292112178,https://cc0textures.com/get?file=Fabric037_8K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Fabric037_51sb4utv/Fabric037_8K-JPG.zip
Fabric036,2K-JPG,zip,22095611,https://cc0textures.com/get?file=Fabric036_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Fabric036_y8pw7ash/Fabric036_2K-JPG.zip
Fabric036,4K-JPG,zip,77491613,https://cc0textures.com/get?file=Fabric036_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Fabric036_y8pw7ash/Fabric036_4K-JPG.zip
Fabric036,8K-JPG,zip,285840728,https://cc0textures.com/get?file=Fabric036_8K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Fabric036_y8pw7ash/Fabric036_8K-JPG.zip
Fabric035,2K-JPG,zip,27765706,https://cc0textures.com/get?file=Fabric035_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Fabric035_ih4omyr1/Fabric035_2K-JPG.zip
Fabric035,4K-JPG,zip,87196636,https://cc0textures.com/get?file=Fabric035_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Fabric035_ih4omyr1/Fabric035_4K-JPG.zip
Fabric035,8K-JPG,zip,312538306,https://cc0textures.com/get?file=Fabric035_8K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Fabric035_ih4omyr1/Fabric035_8K-JPG.zip
3DRock004,2K-JPG,zip,8786134,https://cc0textures.com/get?file=3DRock004_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/3DRock004_a3jdz85i/3DRock004_2K-JPG.zip
